price_time,open_price,high_price,low_price,close_price,price_change,return_pct,volatility,direction,pnl_usd
"2003-07-25 10:00:00",1.14920,1.14980,1.14800,1.14850,-0.00070,-0.060911939,0.00180,SELL,70.00000
"2003-07-25 11:00:00",1.14840,1.15070,1.14810,1.15010,0.00170,0.148032045,0.00260,BUY,170.00000
"2003-07-25 12:00:00",1.15040,1.15040,1.14820,1.14850,-0.00190,-0.165159944,0.00220,SELL,190.00000
"2003-07-25 13:00:00",1.14860,1.14890,1.14660,1.14830,-0.00030,-0.026118753,0.00230,SELL,30.00000
"2003-07-25 14:00:00",1.14810,1.14980,1.14440,1.14930,0.00120,0.104520512,0.00540,BUY,120.00000
"2003-07-25 15:00:00",1.14910,1.15120,1.14840,1.14930,0.00020,0.017404926,0.00280,BUY,20.00000
"2003-07-25 16:00:00",1.14930,1.15530,1.14830,1.15430,0.00500,0.435047420,0.00700,BUY,500.00000
"2003-07-25 17:00:00",1.15440,1.15450,1.14970,1.15130,-0.00310,-0.268537769,0.00480,SELL,310.00000
"2003-07-25 18:00:00",1.15150,1.15230,1.15000,1.15090,-0.00060,-0.052105949,0.00230,SELL,60.00000
"2003-07-25 19:00:00",1.15090,1.15200,1.15060,1.15140,0.00050,0.043444261,0.00140,BUY,50.00000
"2003-07-25 20:00:00",1.15150,1.15280,1.15040,1.15110,-0.00040,-0.034737299,0.00240,SELL,40.00000
"2003-07-25 21:00:00",1.15090,1.15200,1.15060,1.15110,0.00020,0.017377704,0.00140,BUY,20.00000
"2003-07-25 22:00:00",1.15110,1.15210,1.15040,1.15140,0.00030,0.026062028,0.00170,BUY,30.00000
"2003-07-25 23:00:00",1.15140,1.15170,1.15070,1.15130,-0.00010,-0.008685079,0.00100,SELL,10.00000
"2003-07-28 00:00:00",1.14970,1.15050,1.14950,1.14990,0.00020,0.017395842,0.00100,BUY,20.00000
"2003-07-28 01:00:00",1.15000,1.15050,1.14870,1.14910,-0.00090,-0.078260870,0.00180,SELL,90.00000
"2003-07-28 02:00:00",1.14940,1.14980,1.14820,1.14830,-0.00110,-0.095702105,0.00160,SELL,110.00000
"2003-07-28 03:00:00",1.14830,1.14900,1.14640,1.14770,-0.00060,-0.052251154,0.00260,SELL,60.00000
"2003-07-28 04:00:00",1.14740,1.14800,1.14650,1.14760,0.00020,0.017430713,0.00150,BUY,20.00000
"2003-07-28 05:00:00",1.14770,1.14820,1.14720,1.14740,-0.00030,-0.026139235,0.00100,SELL,30.00000
"2003-07-28 06:00:00",1.14740,1.14830,1.14730,1.14770,0.00030,0.026146069,0.00100,BUY,30.00000
